Postal_Code,Building_Name,Location_Description
579837,Junction 8 Shopping Centre,Level 1 Fire Command Centre
569935,Lycee Francais De Singapour,"Level 1 Block K, Opposite Reception Office K1-07"
569928,Lycee Francais De Singapour,"Level 1 Block G, Outside Multi-Purpose Room G1-01"
569928,Lycee Francais De Singapour,"Level 1 Block B Auditorium, Outside Room B1-02"
569383,Ang Mo Kio Methodist Church,Level 1 Lift Lobby
569383,Ang Mo Kio Methodist Church,Level 3 Information Counter
569383,Ang Mo Kio Methodist Church,Level 5 Outside The Sanctuary
569845,Presbyterian High School,"Level 2 Bethel Hall, Near Staircase 2H (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
569845,Presbyterian High School,Level 1 Admin Block (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569845,Presbyterian High School,"Level 1 Special Rooms Block 1, Near Staircase 2T (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
569845,Presbyterian High School,Level 1 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569845,Presbyterian High School,Level 3 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
568046,The Grassroots Club,Level 1 Outside Member Room
579795,Kuo Chuan Presbyterian Secondary School,"Level 1 Block A, Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
579795,Kuo Chuan Presbyterian Secondary School,"Level 1 Block C, Outside Corner Of Art Room 2 (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
579795,Kuo Chuan Presbyterian Secondary School,"Level 3 Block H, Outside Centre For International Studies (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
579795,Kuo Chuan Presbyterian Secondary School,"Level 2 Block H, Outside Staff Room (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
579795,Kuo Chuan Presbyterian Secondary School,Level 3 Inside Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569933,AMK Hub,"Level 1 Outside Washroom, Opposite Subway (#01-35)"
569933,AMK Hub,"Level 2 Outside Washroom, Opposite Xin Wang Hong Kong Café (#02-26)"
569933,AMK Hub,Level B2 Lift Lobby B
569830,Blk A,"Level 1 Outside Male Toilet, Near Auditorium"
569832,Blk C,Level 1 SBM Admin Office Counter
569815,Blk G,Level 2 ISH Entrance
569815,Blk G,Level 3 Facing North Tennis Court
567725,Blk T,Level 2 Student Gym
569816,Blk F,Level 2 Swimming Pool Staff Locker Area
569816,Blk F,Level 3 NYP Stadium
569818,Blk J,Level 3 Outside SHS Admin Office
569830,,Level 1 South Tennis Court
569824,Staff Apartment Blk 168,Level 1 Lift Lobby
569821,Blk M,Level 5 Near Admin Office
569820,Blk L,Level 3 Near Admin Office
569826,Blk P,Level 4 Opposite SCL Admin Office
569828,Blk R,Level 6 Near SDN Admin Office
569829,Blk S,Level 1 Outside SEG Admin Offices
569405,CHIJ St Nicholas Girls' School,Level 1 Opposite MPH (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569405,CHIJ St Nicholas Girls' School,"Level 2 Near General Office, Secondary (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
569405,CHIJ St Nicholas Girls' School,"Level 2 MPH Blk, Between Hall & Gym (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
569405,CHIJ St Nicholas Girls' School,"Level 5 MPH Blk, Between Pri & Sec ISH (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
569405,CHIJ St Nicholas Girls' School,Level 1 Outside PE Room (Available During School Operating Hours. Approach Security Officer At Main Gate.)
579785,Guide House,Level 1 Recreation Area
579782,MOE Language Centre (Bishan),"Level 1 Lobby, Outside Office"
575738,Marymount Community Club,Level 1 Outside Constituency Office
575738,Marymount Community Club,Level 3 Outside Lift Lobby
574623,Mount Alvernia Hospital,Level 6 Orchard Heart Specialist Clinic
576151,One Pemimpin,"Level 6 Corndale Consultants Pte Ltd, Near Main Entrance"
575566,Peirce Secondary School,"Level 1 Blk A, Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
575566,Peirce Secondary School,Level 1 Blk E Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
575566,Peirce Secondary School,Level 1 Blk F Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
575566,Peirce Secondary School,Level 1 School Field Toilet (Available During School Operating Hours. Approach Security Officer At Main Gate.)
560529,529 Cheng San Centre,"Level 1 Immanuel Dialysis Centre, AMK (Approach Staff)"
569228,Jing Shan Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569228,Jing Shan Primary School,Level 2 School Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569228,Jing Shan Primary School,Level 1 Block C (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569206,Anderson Secondary School,Level 1 General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569206,Anderson Secondary school,Level 1 School Field (Available During Dual Use Scheme Operating Hours)
569206,Anderson Secondary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569206,Anderson Secondary School,Level 1 Indoor Sports Hall (Available During Dual Use Scheme Operating Hours)
119074,National University Hospital (Kent Ridge Wing 2),"Level 3 Kent Ridge Wing, Lift Lobby 8"
569206,Anderson Secondary School,Level 2 Indoor Sports Hall (Available During Dual Use Scheme Operating Hours)
297754,Marymount Convent School,"Level 2 Blk A, Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
297754,Marymount Convent School,"Level 1 Blk D, Beside Playground (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
297754,Marymount Convent School,"Level 6 Blk G, Outside ISH (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
297754,Marymount Convent School,"Level 3 Blk G, Outside Gymnasium (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
569277,Deyi Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569277,Deyi Secondary School,Level 1 Near Fitness Corner (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569277,Deyi Secondary School,Level 2 Outside Multi-Purpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569277,Deyi Secondary School,Level 1 Toilet Hut Outside Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569299,Teck Ghee Primary School,Level 1 General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569299,Teck Ghee Primary School,Level 2 Multipurpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569299,Teck Ghee Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569299,Teck Ghee Primary School,"Level 1 Block E, Near Classroom 2A (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
569299,Teck Ghee Primary School,Level 1 Outside Student Care Centre (Available During School Operating Hours. Approach Security Officer At Main Gate.)
547530,Bright Vision Hospital,"Level 2 Consultation Room 7, Mobile Unit"
575701,Vehicle & Transit Licensing Division,Level 1 LTA Admin Services Office
575701,Vehicle & Transit Licensing Division,Level 1 LTA SMO Clubhouse Counter
569384,Mayflower Secondary School,Level 1 General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569384,Mayflower Secondary School,Level 1 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569384,Mayflower Secondary School,Level 2 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569384,Mayflower Secondary School,Level 1 School Field Toilet (Available During Dual Use Scheme Operating Hours)
569785,Anderson Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569785,Anderson Primary School,Level 1 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569785,Anderson Primary School,Level 4 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
567739,Singapore Institute of Technology@NYP,Level 1 Beside Vending Machine
